Title,Content,Date
Bayern meet with Guehi agent over possible transfer,"Marc Guehi's agent has met with Bayern Munich chiefs regarding a possible transfer this summer, according to Sky in Germany. The Crystal Palace captain is likely to be a free agent next summer when his contract expires. Real Madrid, Barcelona, Manchester City and Liverpool are just some of the clubs who want to sign him this summer.",2025-10-24
Peterborough hold talks with Williams over manager role,"Latest from Sky Sports News' Dharmesh Sheth and Mark McAdam: Peterborough United have held talks with Luke Williams over their vacant managerial post. The League One side are searching for a new manager after parting ways with Darren Ferguson on Saturday, following their 2-1 home defeat to Blackpool. Williams has been out of work since leaving Swansea City in February.",2025-10-26
"Emery: Elliott has to prove, that is why I left him out","Aston Villa boss has said Harvey Elliott needs to improve before he can feature regularly in his team. Elliott was left out of the match-day squad for the 1-0 win against Manchester City and has only featured five times since joining on loan from Liverpool with an obligation to buy. ""Yesterday I responded with the question in the press conference, I am happy with him and he is training well,"" Emery told Sky Sports. ""Until now, the performance was not enough. He has to adapt. They [other options] are performing well. ""I am happy because he is a good guy and is training very well. Keep going.""",2025-10-26
'West Ham to stick with Nuno',"West Ham intend to stick with Nuno and are targeting a new striker in the January transfer window, according to The Times. The paper reports that the West Ham board 'accept that it was a mistake to try bolstering their attack in the summer by only signing Callum Wilson, 33, on a free transfer.' The Hammers are stuck in the relegation zone after losing 2-1 at Leeds on Friday Night Football.",2025-10-25
Malacia travels with squad to face Brighton,"Tyrell Malacia is part of the match-day squad for Manchester United's clash against Brighton, live on Saturday Night Football. Sky Sports News reported Malacia had been reintergrated into Ruben Amorim's squad in September following meetings with the United boss. The 26-year-old had been training with the U23s prior to rejoining the first team. Malacia has not featured for United in the Premier League since January 26.",2025-10-25
Moyes coy on Toney links,"David Moyes says he is focused on improving Everton's current strikers but admits his side ""need results"" amid reported interest in Ivan Toney. Toney is currently in Saudi Arabia but there are suggestions the Toffees could move for the former Brentford forward in January as he attempts to force his way back into the England squad for this summer's World Cup. Beto and Thierno Barry have both struggled for Everton this season and Moyes told Sky Sports: ""I'm sure Ivan Toney would get linked with about 20 clubs, never mind our club, because he's such a good player. ""You're saying he's hoping to go to the World Cup with England, so if that's the case, he's playing at a really high level. ""We've got what we've got just now, and we want to develop them and make them better. But also we need results."" Moyes also revealed Everton have started making plans for the upcoming window, adding: ""All clubs are looking forward now. It's not too far away. ""The Africa Cup of Nations means we'll have a couple away. You have to take that into consideration.""",2025-10-25
"Papers: Fernandes release clause revealed, Bamford spotted at Coventry",Sky Sports,2025-10-24
Wharton: I want to play in Champions League and win trophies,"Crystal Palace midfielder Adam Wharton has opened up on his ambitions to play Champions League football and make England's World Cup squad next summer. Wharton, 21, has become a key figure at Selhurst Park since joining from Blackburn in 2024 and has regularly been linked with moves away from the club, given his strong showings for the Eagles. Speaking to Sky Sports' Jamie Redknapp, Wharton was asked about his personal ambitions within the sport after already making 43 appearances in the Premier League in the early stages of his career. ""Champions League, if you can play in it, you want to,"" he said. ""I want to play as many games as I can in the Premier League and try reac hthe highest level possible. There is a World Cup in the summer, and everyone wants to play in it."" When asked if that would be with Palace, who sit in eighth place within the table currently. Wharton added: ""That's it. Being as successful as possible, winning trophies and games. ""Just keep going until you can't anymore.""",2025-10-24
Amorim: Not the time to talk about Maguire future,"Ruben Amorim says Harry Maguire is a ""massive player"" for Manchester United but refused to be drawn on the defender's future as he approaches the final six months of his contract. The 32-year-old centre-back, who was United's matchwinner and hero last weekend as Amorim's side claimed a rare win at Anfield, will be free to talk to foreign clubs from January about a potential free transfer at the end of the season. Asked directly if he would like Maguire to stay, the United boss said:  ""We are really happy with Harry. It's not the time to talk about that again. That gives the idea that we are thinking so far away. ""We are really happy with Harry. He's really important for us, but we need to focus on the next game."" Asked about Maguire's turnaround in fortunes at Old Trafford, he added: ""I think it is good for him to play with the three centre-backs. ""I think he feels more comfortable because he plays in the centre, he doesn't need to go to the side so much. I'm really pleased [with him]. ""I think he's not young, but he can learn a lot. He can improve. I think he can be so much better with the ball. Because he has that quality and he needs to show that. ""Nowadays, with the set-pieces that you see, the amount of men that you put in the box, every cross from the opponents and everyone is playing like that. ""He's a massive player for us, so I'm really happy. But he needs to continue. That game is in the past. That goal is in the past. Let's move forward to the present and the future.""",2025-10-24
'He has a bit of everything' | Howe full of priase for Tonali after contract extension,,2025-10-24
Rashford makes it clear he wants to stay at Barcelona,"Marcus Rashford has made it clear he wants to stay at Barcelona as he gears up for his first El Clasico against Real Madrid this weekend. Rashford moved to Barcelona on loan from Manchester United this summer and the LaLiga giants have the option of making the deal permanent next year. Having scored five goals in 12 games including a double in the midweek Champions League thrashing of Olympiacos, the 27-year-old is clear where his future lies. Sky Sports Asked if he wanted to stay, Rashford told ESPN: “Oh yeah, for sure. “I’m enjoying this football club and I think for anybody who loves football, Barcelona is one of the key clubs in the history of the game. For a player it’s an honour.” Rashford has a contract at Old Trafford until 2028 but having also spent a brief spell on loan at Aston Villa last season it is highly unlikely he will return under current boss Ruben Amorim. “People forget this, but 24, 23 years of my life was with Manchester United, so sometimes you just need a change,” added Rashford. “I think maybe this is the case with me and I’m enjoying everything.”",2025-10-24
,  ,2025-10-24
Lockyer returns to football with Bristol Rovers,"Bristol Rovers have signed former Luton defender Tom Lockyer on a free transfer. Lockyer has put pen-to-paper on a contract with the Pirates until the end of the season. The 30-year-old is set to make his football comeback following a cardiac arrest in a Premier League fixture with Luton Town in December 2023. Almost two years have passed since the defender’s last competitive fixture. “It feels really, really good to once again be a Bristol Rovers player,” Lockyer said. “Obviously I’ve been training here for a while and I’ve tried not to think too much about it or get too excited about the ifs, buts and maybes. But as soon as I knew that Darrell wanted to get something done, it was easy for me to then make a decision about coming back home.""",2025-10-24
"Papers: Zirkzee to leave Man Utd, West Ham leading race to sign forward",Sky Sports,2025-10-23
Dasilva signs new Brentford deal,"Josh Dasilva has signed a new contract with Brentford until the end of the season, with the club holding an option to extend the deal for an additional year. Dasilva's previous deal expired in the summer but he remained at the club to complete his rehab after suffering a significant knee injury in February 2024. Speaking in a statement released by the club, head coach Keith Andrews said: ""I’ve been keen to get this done and had discussions with Phil Giles around it, stressing the importance of Josh to the group. “He’s someone that I’ve involved a lot around the next chapter of where we’re going with the club and the steps we need to make. “Josh is someone who really understands Brentford football club and he’s a really intelligent young man who cares about the club - I don’t think we should forget that. “But, ultimately, we want to get him back on the grass because, if we get him back to the level he was at, he’s going to be a major asset for us.”",2025-10-23
Messi agrees new Inter Miami contract,"Lionel Messi has agreed to a new contract at Inter Miami, the club have confirmed. The Argentine is said to have extended his stay at the MLS club until 2028, which will make him 41 years old by the time the contract comes to an end. Speaking on Thursday, Inter Miami boss Javier Mascherano said of his former teammate: ""To enjoy him, watching him enjoy doing the things he is doing, he's very, very competitive and he tries to translate that to the team. ""The best way to help him is trying to do the right things ... he has to be comfortable on the pitch. He's comfortable when things are working in the right way. ""With him, when we do things the right way, we'll have many chances to have success."" Inter Miami, who finished third in the MLS Eastern Conference, will take on Nashville in the first of a best of three series on Friday night.",2025-10-23
Sky Sports Essential EFL podcast: League One and Two review,"Simeon Gholam is joined by Aaron McLean and Ben Tozer on the League One and Two review on the Sky Sports Essential EFL podcast. The panel look at Luton's appointment of Jack Wilshere, the form of Stockport, whether Ian Evatt's arrival can turn Blackpool around and the form of MK Dons. All that and plenty more! 👉 Give the Sky Sports Essential EFL podcast a follow",2025-10-23
O'Hara on Dyche: He's not just a relegation manager,,2025-10-23
Le Bris discusses former loanee Guiu facing the Black Cats,"Sunderland head coach Regis Le Bris in his pre-match press conference: ""Sometimes the market and the life of different clubs and players is a bit weird! ""We appreciated the short spell we had with Marc, but now it's another story. ""We developed a good connection with Chelsea and when they had many injuries, they decided to call out sporting department. They had a conversation and the end of the story was he went back to Chelsea. ""The market is the market and sometimes you have to face unpredictable situations. We were able to find another solution, but the balance was we could say yes to their request if we are able to find another solution. ""It was possible, so we are OK.""",2025-10-23
Le Bris on Sunderland's smart recruitment,"Sunderland head coach Regis Le Bris in his pre-match press conference: ""You can't solve everything with money. ""You need money to be competitive in the market, but after that, you have to develop your own expertise according to the profile you need and the identity you have at the club. ""The recruitment structure worked really well to find these profiles because the connection early in the season went really well. ""We felt the personalities, the profiles fit really well with what we wanted.""",2025-10-23
Papers: Liverpool consider Upamecano as Guehi alternative,Sky Sports P,2025-10-23
"Villa eyeing new deals for Rogers, Cash and McGinn","Aston Villa boss Unai Emery says the club are working on new contracts for Morgan Rogers, Matty Cash and John McGinn. All three have been a key part of Villa’s rise under Emery over the last couple of years, which culminated in them reaching the Champions League quarter-finals last season. Rogers, who is already under contract until 2030, has gone on to become an established member of Thomas Tuchel’s England side while Cash and McGinn attracted interest from Premier League clubs in the summer. And the club are trying to tie the trio down to long-term deals. “The club is working in the individual situation with Matty Cash, with Morgan and with John McGinn,” the Spaniard said ahead of Thursday’s Europa League match with Go Ahead Eagles. “And of course, they are very important players for us. Their commitment with Aston Villa is massive commitment, always being very, very positive, and playing with their qualities. “Now they are showing as well, probably getting better, and for the team that is very, very important.”",2025-10-22
Analysis: What does Tonali's new deal mean?,"Sky Sports' News' Keith Downie: This is the news the Newcastle fans had been hoping for some time, but they needn't have worried - the contract extension was already secretly in place. Tonali had agreed to a one-year extension, with the option of another (this is a club option, not player) last year. This agreement was made to protect Newcastle's position, but also because the midfielder wanted to show his appreciation for supporting him during his 10-month worldwide football ban for illegal gambling. The Italian international was banned at the time of the handshake. Sky Sports Still raw from the acrimonious departure of Alexander Isak to Liverpool on Deadline Day, the fear from Newcastle fans is that their best player, Tonali will be sold to one of Europe's top clubs next summer. So this should give them comfort. But this extension doesn't mean that Tonali won't leave next summer or the one after that. However it puts Newcastle in a much stronger position financially if the 25-year-old was to move on. And that's something Tonali wanted. If Newcastle take up their one-year option it ties him down at St James' Park until he's aged 30. It's a clever piece of business thrashed out at an awkward time. Can I see someone offering £100m for him within the next year? Yes. But do I see Tonali going on strike to force his exit from the club like Isak? No. For multiple reasons that scenario will not be repeated.",2025-10-22
Tonali extends Newcastle contract,"Latest from Sky Sports News' Keith Downie: Sandro Tonali’s contract has been extended until 2029, with the option of an additional year. The Italian agreed the deal in secret during his ban for illegal betting, to protect Newcastle financially with the club having not been able to use him for 10 months. So the 25-year-old has three-and-a-half years left on his deal, with the option of one more. It is good news for Newcastle fans who were worried the club could be forced to sell next summer.",2025-10-22
Bayern keen to extend Olise's contract,"Bayern Munich are keen to extend Michael Olise’s contract beyond 2029, according to Sky Germany. The former Crystal Palace and Reading winger has been impressive again for the club this season. He has taken his goals to 26 and assists up to 29 in 66 games since joining Bayern in 2024. And Bayern sporting director Max Eberl has confirmed ""there is no exit clause he could invoke"" in his current contract. Eberl added: ""Michael is on his way to becoming one of the best players in the world.""",2025-10-22
Former England caretaker Taylor leaves non-league club,"Peter Taylor has stepped down from his job as Canvey Island manager, the club have announced. It comes after the club - who play in the Isthmian League Premier Division, one step below the National League South - were knocked out of the Essex Senior Cup by Benfleet on Tuesday night. The Gulls sit bottom of the league table, with just one win from 11 games to date. Seventy-two-year-old Taylor - a former England international - took his first job in management 39 years ago at Dartford. He was the first manager to make David Beckham England captain when he caretaker charge of the Three Lions for one match in November 2000.",2025-10-22
'Squad good enough to win everything!' | Can Arsenal compete on all fronts this season?,,2025-10-22
Papers: Man Utd eye move for Real Madrid star Endrick,Sky Sports,2025-10-22
Leeds secure future of Harry Gray,Harry Gray - brother of Archie - has signed his first professional contract with Leeds United. The 17-year-old striker has signed a long-term deal at Elland Road. Gray made his senior debut for Leeds off the bench in a 6-0 victory over Stoke in the Championship in April. He has been on the bench for Leeds this season in the Premier League and Carabao Cup.,2025-10-21
West Ham target January transfers to turn around season,"West Ham are targeting signing at least one striker, one midfielder and one defender in January as they seek to turn their fortunes around this season. Sky Sports",2025-10-21
"Villa looking to tie down Rogers, Cash & McGinn","Latest from Sky Sports News' Lyall Thomas and Mark McAdam: Morgan Rogers is in the early stages of discussing a new contract with Aston Villa. Positive talks have taken place about a new deal that could extend his stay until 2031. Rogers' current contract - signed last year - runs until 2030 and he has a growing list of admirers. Villa are hoping to tie Rogers, Matty Cash and John McGinn down to new contracts. Cash has verbally agreed new terms and McGinn is also close to re-signing for the club.",2025-10-21
Sky Sports Essential EFL podcast: 'Five in Five' EFL Stories,"Simeon Gholam is joined by five different EFL players for five minutes apiece, on the Sky Sports Essential EFL podcast, as he speaks to Oxford's Will Lankshear, Leicester's Abdul Fatawu, Derby's Carlton Morris, Ipswich's Cedric Kipre and Norwich's Liam Gibbs. 👉 Give the Sky Sports Essential EFL podcast a follow",2025-10-21
Spurs target Akliouche: PL in the future? Why not,"Monaco attacker Maghnes Akliouche has responded to the summer speculation linking him to Tottenham, whom he faces in the Champions League on Wednesday. Sky Sports News reported in the summer that Akliouche was of interest to Tottenham before they signed Xavi Simons. The France international, however, has not ruled out a move to the Premier League in the future. Asked about Spurs' interest, the 23-year-old said: ""It was very flattering to have these kind of stories and links, but I am a Monaco player and I am playing against Tottenham tomorrow, so I will give my best. ""In terms of whether I want to play in the Premier League in the future? Why not, but we’ll see. What is important for me is tomorrow’s game. Akliouche has scored twice this season and will be hoping to show Spurs why they were reportedly interested. Questioned on whether he will feel more pressure playing against Tottenham, he replied: ""I am focused on my performance and on the performance of the team. The important thing for us is to win the game. ""I am not focused at all on other links and pressure.""",2025-10-21
WATCH: Sean Dyche's funniest moments,,2025-10-21
Kompany signs new Bayern deal,"Vincent Kompany has signed a new deal as manager of Bayern Munich, the club has confirmed. Kompany, who joined the club in 2024 and regained the Bundesliga title in his first season, has extended his stay until 2029. ""I’m grateful, honoured and would like to thank FC Bayern for the trust and the working environment they’ve given me from day one,"" Kompany said. ""It feels like I’ve been here a lot longer and that I know the club well. It’s been a great experience so far. We’ve started on a wonderful journey. Let’s keep working hard and celebrate much more success!""",2025-10-21
Wednesday sign Lumley on loan,"Sheffield Wednesday have signed experienced goalkeeper Joe Lumley on a seven-day emergency loan from Bristol City. The shot-stopper is in contention to play in the Owls’ midweek clash with his former club Middlesbrough, following confirmation of Ethan Horvath’s one-match suspension for receiving a red card at the weekend. The 30-year-old began his career with QPR, where he played 84 times in amongst loan spells with Accrington, Morecambe, Stevenage, Bristol Rovers, Blackpool, Gillingham and Doncaster.",2025-10-21
Blackpool appoint Evatt as head coach,"Blackpool have unveiled Ian Evatt as their new head coach on a contract until the summer of 2028. The 43-year-old - who played for the club between 2006 and 2013 - replaces Steve Bruce, who was sacked earlier this month after just over a year in the job. “It’s incredibly emotional to return here and to be given this opportunity,"" Evatt told the club's official website. “I know first-hand what this club and its supporters can achieve together. We all want to see fearless attacking football where Bloomfield Road is a really tough place for any team to play. “It’s a real honour to be back here as head coach and I cannot wait to meet the players and to get started.”",2025-10-21
VOTE: Is Dyche the right man for Forest?,,2025-10-21
Dyche appointed new Forest head coach,Sky Sports,2025-10-21
WATCH: Dyche arrives at Forest,Sky Sports News reporter Anton Toloui with the latest on Sean Dyche's impending managerial appointment at Nottingham Forest.,2025-10-21
Pope confirms clause triggered in Newcastle deal,"Newcastle goalkeeper Nick Pope has confirmed the club have triggered a one-year extension on his current contract. Sky Sports News reported the clause had been triggered earlier in October, meaning he will now remain at St James' Park until 2027. The 33-year-old goalkeeper, who has been in outstanding form so far this season, accepted the option as part of a reward for helping the club qualify for the Champions League. Speaking ahead of the Champions League clash against Benfica on Tuesday, Pope was asked about how it felt to extend his stay with the Magpies. ""My contract is up in 2027,"" he said. ""I look forward to spending as long as I can here.""",2025-10-20
Potter's pride as he returns to Sweden,"Graham Potter has spoken of his pride at returning to Sweden as national team manager, having begun his coaching career in the country. His first task is qualifying for the World Cup, having earned just just one point from their opening four qualifying games. “My feelings for being the Swedish national team manager are one of extreme pride, it’s a really exciting day for me,” Potter said. “It’s quite clear, we want to get to the World Cup, simple as that. We have to get the team together, playing well, winning games, and our aim is to get to the World Cup. “How I see the players, the team and the group is positive. The challenge now and the work is to make us into a really good team.” Potter took Ostersunds from the fourth division of Swedish football to the first division during his seven-year tenure at the club. “I think back to coming into the country in 2011, playing in the fourth tier in Swedish football, and so to be here now I'm incredibly proud and it feels really, really special,"" Potter added. “I always keep an eye on Swedish football because of my relationship with the country. “Swedish football means an incredible amount to me. It’s the start of my professional coaching career, I’ll be forever grateful for the time I had here, for the football family here – it’s an incredible place and one I'm really proud to be part of.” A poor run of results has left Sweden bottom of their qualifying group, and their most recent 1-0 defeat to Kosovo on October 13 led to the dismissal of Jon Dahl Tomasson. “I'm aware of the results that the team had and the players that we have, but now it’s about looking forward and I'm really excited to be here and help the team achieve the goal of the World Cup,” Potter said. “It’s an incredible opportunity for me, a very proud moment in my life and my career. “What I look forward to most is meeting the players, all the people in the football family in Sweden, our supporters, and then competing and winning games to get to the World Cup. “The message to our supporters is, we need their support. Swedish football fans are renowned for being incredible around the world and I'm really looking forward to experiencing that.”",2025-10-20
Kemp signs new Stevenage deal,,2025-10-20
